time_s,stage,pressure,volume,displacement,transducers
1.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.153, -0.141, -0.144, -0.001, -0.001]"
1.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.157, -0.154, -0.156, -0.001, -0.001]"
2.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.155, -0.144, -0.142, -0.001, -0.001]"
3.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.152, -0.137, -0.131, -0.001, -0.001]"
4.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.155, -0.139, -0.136, -0.001, -0.001]"
5.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.139, -0.121, -0.121, -0.001, -0.001]"
6.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.142, -0.128, -0.116, -0.001, -0.001]"
7.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.155, -0.142, -0.136, -0.001, -0.001]"
8.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.145, -0.127, -0.131, -0.001, -0.001]"
10.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.125, -0.116, -0.118, -0.001, -0.001]"
10.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.131, -0.121, -0.117, -0.001, -0.001]"
11.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.135, -0.125, -0.125, -0.001, -0.001]"
13.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.126, -0.12, -0.109, -0.001, -0.001]"
14.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.142, -0.126, -0.127, -0.001, -0.001]"
14.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.14, -0.125, -0.133, -0.001, -0.001]"
15.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.137, -0.122, -0.12, -0.001, -0.001]"
17.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.138, -0.126, -0.124, -0.001, -0.001]"
17.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.136, -0.128, -0.123, -0.001, -0.001]"
19.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.164, -0.149, -0.135, -0.001, -0.001]"
20.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.13, -0.119, -0.12, -0.001, -0.001]"
20.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.131, -0.117, -0.112, -0.001, -0.001]"
21.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.135, -0.122, -0.116, -0.001, -0.001]"
23.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.154, -0.14, -0.137, -0.001, -0.001]"
23.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.14, -0.126, -0.125, -0.001, -0.001]"
24.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.143, -0.129, -0.127, -0.001, -0.001]"
26.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.154, -0.137, -0.131, -0.001, -0.001]"
26.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.152, -0.138, -0.135, -0.001, -0.001]"
28.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.16, -0.147, -0.139, -0.001, -0.001]"
28.99,Saturation,,,,"[-0.254, -1.773, -7.564, -0.15, -0.133, -0.13, -0.001, -0.001]"
30.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.145, -0.125, -0.124, -0.001, -0.001]"
30.99,Saturation,,,,"[-0.254, -1.773, -7.564, -0.151, -0.134, -0.135, -0.001, -0.001]"
32.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.154, -0.139, -0.142, -0.001, -0.001]"
32.99,Saturation,,,,"[-0.254, -1.773, -7.564, -0.145, -0.132, -0.132, -0.001, -0.001]"
33.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.145, -0.129, -0.124, -0.001, -0.001]"
35.0,Saturation,,,,"[-0.252, -1.773, -7.566, -0.137, -0.125, -0.125, -0.001, -0.001]"
35.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.144, -0.132, -0.129, -0.001, -0.001]"
36.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.149, -0.132, -0.129, -0.001, -0.001]"
37.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.152, -0.138, -0.136, -0.001, -0.001]"
38.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.149, -0.136, -0.138, -0.001, -0.001]"
40.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.149, -0.134, -0.136, -0.001, -0.001]"
40.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.155, -0.133, -0.134, -0.001, -0.001]"
42.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.141, -0.126, -0.123, -0.001, -0.001]"
42.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.148, -0.132, -0.124, -0.001, -0.001]"
44.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.136, -0.126, -0.131, -0.001, -0.001]"
44.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.14, -0.128, -0.129, -0.001, -0.001]"
46.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.146, -0.133, -0.136, -0.001, -0.001]"
46.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.145, -0.135, -0.132, -0.001, -0.001]"
48.0,Saturation,,,,"[-0.252, -1.773, -7.566, -0.145, -0.13, -0.129, -0.001, -0.001]"
48.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.143, -0.129, -0.122, -0.001, -0.001]"
50.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.144, -0.135, -0.133, -0.001, -0.001]"
50.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.139, -0.121, -0.12, -0.001, -0.001]"
52.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.148, -0.139, -0.139, -0.001, -0.001]"
53.06,Saturation,,,,"[-0.254, -1.773, -7.564, -0.154, -0.143, -0.139, -0.001, -0.001]"
54.01,Saturation,,,,"[-0.254, -1.773, -7.564, -0.157, -0.143, -0.136, -0.001, -0.001]"
55.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.157, -0.142, -0.141, -0.001, -0.001]"
56.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.153, -0.14, -0.135, -0.001, -0.001]"
57.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.16, -0.144, -0.143, -0.001, -0.001]"
58.01,Saturation,,,,"[-0.252, -1.773, -7.566, -0.161, -0.14, -0.147, -0.001, -0.001]"
59.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.164, -0.144, -0.141, -0.001, -0.001]"
60.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.156, -0.141, -0.143, -0.001, -0.001]"
