time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume
0.99,Saturation,,,,"[-0.254, -1.773, -7.564, -0.158, -0.144, -0.145, -0.001, -0.001]",,,,,,
1.99,Saturation,,,,"[-0.254, -1.773, -7.564, -0.153, -0.141, -0.144, -0.001, -0.001]",,,,,,
2.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.161, -0.142, -0.138, -0.001, -0.001]",,,,,,
3.98,Saturation,,,,"[-0.254, -1.773, -7.566, -0.154, -0.136, -0.141, -0.001, -0.001]",,,,,,
4.99,Saturation,,,,"[-0.254, -1.773, -7.566, -0.16, -0.145, -0.139, -0.001, -0.001]",,,,,,
6.0,Saturation,,,,"[-0.254, -1.773, -7.564, -0.148, -0.141, -0.133, -0.001, -0.001]",,,,,,
7.01,Saturation,,,,"[-0.252, -1.773, -7.566, -0.157, -0.136, -0.139, -0.001, -0.001]",,,,,,
8.01,Saturation,,,,"[-0.254, -1.773, -7.564, -0.16, -0.15, -0.137, -0.001, -0.001]",,,,,,
9.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.164, -0.152, -0.146, -0.001, -0.001]",,,,,,
10.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.155, -0.145, -0.14, -0.001, -0.001]",,,,,,
11.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.16, -0.145, -0.145, -0.001, -0.001]",,,,,,
12.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.155, -0.146, -0.144, -0.001, -0.001]",,,,,,
13.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.156, -0.135, -0.139, -0.001, -0.001]",,,,,,
14.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.16, -0.143, -0.144, -0.001, -0.001]",,,,,,
15.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.156, -0.15, -0.145, -0.001, -0.001]",,,,,,
16.01,Saturation,,,,"[-0.252, -1.773, -7.566, -0.161, -0.143, -0.151, -0.001, -0.001]",,,,,,
17.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.171, -0.153, -0.151, -0.001, -0.001]",,,,,,
18.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.157, -0.149, -0.155, -0.001, -0.001]",,,,,,
19.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.171, -0.153, -0.148, -0.001, -0.001]",,,,,,
20.0,Saturation,,,,"[-0.254, -1.773, -7.566, -0.166, -0.15, -0.158, -0.001, -0.001]",,,,,,
21.01,Saturation,,,,"[-0.252, -1.773, -7.566, -0.186, -0.173, -0.169, -0.001, -0.001]",,,,,,
22.01,Saturation,,,,"[-0.252, -1.773, -7.566, -0.17, -0.159, -0.154, -0.001, -0.001]",,,,,,
23.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.17, -0.155, -0.154, -0.001, -0.001]",,,,,,
24.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.161, -0.15, -0.14, -0.001, -0.001]",,,,,,
25.02,Saturation,,,,"[-0.254, -1.773, -7.564, -0.162, -0.145, -0.138, -0.001, -0.001]",,,,,,
26.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.165, -0.146, -0.149, -0.001, -0.001]",,,,,,
