time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
1.0,Saturation,,,,"[-0.258, 7.763, -7.566, -0.143, -0.125, -0.125, -0.001, -0.001]",,,7.763,-7.566,,,-0.258,-0.143,-0.125,-0.125
1.99,Saturation,,,,"[-0.256, 7.763, -7.564, -0.139, -0.129, -0.129, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.139,-0.129,-0.129
2.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.136, -0.124, -0.116, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.136,-0.124,-0.116
3.99,Saturation,,,,"[-0.256, 7.763, -7.564, -0.14, -0.123, -0.121, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.14,-0.123,-0.121
5.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.139, -0.128, -0.123, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.139,-0.128,-0.123
6.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.128, -0.109, -0.112, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.128,-0.109,-0.112
6.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.129, -0.118, -0.117, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.129,-0.118,-0.117
8.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.137, -0.124, -0.123, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.137,-0.124,-0.123
8.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.143, -0.126, -0.124, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.143,-0.126,-0.124
10.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.141, -0.131, -0.13, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.141,-0.131,-0.13
11.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.14, -0.121, -0.122, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.14,-0.121,-0.122
11.99,Saturation,,,,"[-0.255, 7.763, -7.566, -0.154, -0.133, -0.124, -0.001, -0.001]",,,7.763,-7.566,,,-0.255,-0.154,-0.133,-0.124
13.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.138, -0.133, -0.132, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.138,-0.133,-0.132
13.99,Saturation,,,,"[-0.256, 7.763, -7.564, -0.15, -0.134, -0.133, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.15,-0.134,-0.133
15.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.153, -0.141, -0.136, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.153,-0.141,-0.136
15.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.178, -0.164, -0.158, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.178,-0.164,-0.158
17.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.157, -0.138, -0.132, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.157,-0.138,-0.132
17.99,Saturation,,,,"[-0.256, 7.763, -7.564, -0.159, -0.145, -0.144, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.159,-0.145,-0.144
19.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.157, -0.146, -0.145, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.157,-0.146,-0.145
20.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.159, -0.144, -0.142, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.159,-0.144,-0.142
21.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.157, -0.14, -0.139, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.157,-0.14,-0.139
22.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.152, -0.146, -0.137, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.152,-0.146,-0.137
22.99,Saturation,,,,"[-0.256, 7.763, -7.564, -0.161, -0.138, -0.137, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.161,-0.138,-0.137
24.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.141, -0.127, -0.123, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.141,-0.127,-0.123
25.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.147, -0.134, -0.13, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.147,-0.134,-0.13
25.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.142, -0.132, -0.135, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.142,-0.132,-0.135
26.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.138, -0.124, -0.121, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.138,-0.124,-0.121
28.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.139, -0.128, -0.119, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.139,-0.128,-0.119
29.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.15, -0.13, -0.13, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.15,-0.13,-0.13
29.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.146, -0.135, -0.129, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.146,-0.135,-0.129
30.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.135, -0.12, -0.124, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.135,-0.12,-0.124
31.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.141, -0.128, -0.126, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.141,-0.128,-0.126
33.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.146, -0.132, -0.133, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.146,-0.132,-0.133
33.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.143, -0.129, -0.126, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.143,-0.129,-0.126
35.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.139, -0.125, -0.126, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.139,-0.125,-0.126
35.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.13, -0.116, -0.108, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.13,-0.116,-0.108
37.0,Saturation,,,,"[-0.255, 7.763, -7.566, -0.141, -0.123, -0.118, -0.001, -0.001]",,,7.763,-7.566,,,-0.255,-0.141,-0.123,-0.118
